epoch,train_loss,val_loss,val_dice,epoch_time_sec
0,0.667066,0.627457,0.705484,4.32
1,0.605003,0.585113,0.699523,3.68
2,0.571298,0.557685,0.703762,3.68
3,0.542789,0.535250,0.700999,3.68
4,0.515594,0.497659,0.806844,3.70
5,0.492046,0.493937,0.512005,4.64
6,0.470286,0.472798,0.651494,4.00
7,0.451344,0.461592,0.657764,4.02
8,0.436750,0.471691,0.818225,4.04
9,0.424708,0.446795,0.698426,4.19
10,0.412721,0.433891,0.695572,4.19
11,0.403543,0.436266,0.793245,4.17
12,0.398010,0.428049,0.723845,4.17
13,0.391624,0.444681,0.717620,4.25
14,0.385450,0.420231,0.727533,4.04
15,0.379724,0.413254,0.731796,4.03
16,0.375423,0.423885,0.802310,4.10
17,0.373998,0.419178,0.764279,4.16
18,0.370582,0.408045,0.715538,4.20
19,0.366199,0.418369,0.610537,4.21
20,0.366386,0.413386,0.802614,4.15
21,0.364331,0.410616,0.852538,4.02
22,0.365216,0.407394,0.724095,4.05
23,0.360376,0.409023,0.822593,4.04
24,0.358626,0.419357,0.829469,4.08
25,0.357111,0.405539,0.796338,4.08
26,0.357939,0.412435,0.828406,4.15
27,0.355103,0.412806,0.733840,4.14
28,0.354960,0.415722,0.830625,4.13
29,0.357741,0.409991,0.770916,4.17
30,0.351978,0.415008,0.820629,4.76
31,0.350195,0.407217,0.829390,4.09
32,0.349257,0.409731,0.789886,4.07
33,0.348662,0.410344,0.827553,4.10
34,0.348054,0.409532,0.807763,4.13
