epoch,train_loss,val_loss,val_dice,epoch_time_sec
0,0.938673,0.905255,0.126249,64.79
1,0.892850,0.915328,0.186741,3.74
2,0.859473,0.858084,0.164114,4.60
3,0.830140,0.873228,0.346632,4.03
4,0.809678,0.814983,0.313096,4.75
5,0.803858,0.822089,0.418870,4.14
6,0.792691,0.826997,0.331280,4.16
7,0.786993,0.805745,0.333724,4.18
8,0.785881,0.801578,0.242328,4.17
9,0.772053,0.803057,0.313407,4.15
10,0.769898,0.791057,0.349469,4.16
11,0.760911,0.791293,0.323573,4.11
12,0.758168,0.790092,0.327833,4.08
13,0.751288,0.789607,0.358911,4.11
14,0.748581,0.796889,0.388508,4.09
15,0.748057,0.791911,0.301718,4.09
16,0.740654,0.793960,0.452635,4.11
17,0.737767,0.782433,0.385355,4.10
18,0.738062,0.784612,0.325002,4.09
19,0.738862,0.792719,0.461941,4.12
20,0.737651,0.778007,0.379961,4.14
21,0.730316,0.779448,0.442726,4.16
22,0.729211,0.778930,0.387089,4.17
23,0.725589,0.786241,0.471675,4.16
24,0.727714,0.772636,0.356441,4.15
25,0.725285,0.772234,0.443782,4.09
26,0.721563,0.781202,0.444299,4.09
27,0.723214,0.791849,0.303224,4.11
28,0.721831,0.781795,0.466341,4.10
29,0.720701,0.789990,0.438810,4.10
30,0.718410,0.787735,0.363836,4.11
31,0.723710,0.775216,0.516317,4.11
32,0.718141,0.785934,0.296303,4.11
33,0.718568,0.777816,0.551949,4.15
34,0.717767,0.770991,0.464223,4.13
35,0.715358,0.781259,0.349395,4.08
36,0.740557,0.776865,0.377719,4.09
37,0.718047,0.767559,0.328942,4.11
38,0.708820,0.748877,0.405923,4.11
39,0.588439,0.338129,0.663446,4.12
40,0.343917,0.336803,0.663446,4.68
41,0.343693,0.336697,0.663446,4.09
42,0.343635,0.336664,0.663446,4.11
43,0.343598,0.336630,0.663446,4.12
44,0.343583,0.336619,0.663446,4.09
45,0.343569,0.336606,0.663446,4.04
46,0.343558,0.336600,0.663446,4.04
47,0.343554,0.336594,0.663446,4.11
48,0.343547,0.336590,0.663446,4.13
49,0.343542,0.336584,0.663446,4.15
